Arena;MaxCapacity;Team
American Airlines;19200;Dallas Mavericks
Amway Center;18846;Orlando Magic
AT&T Center;18418;San Antonio Spurs
Ball Arena;19520;Denver Nuggets
Barclays Center;17732;Brooklyn Nets
Capital One Arena;20356;Washington Wizards
Chase Center;18064;Golden State Warriors
Crypto.com Arena;19068;Los Angeles Clippers
Crypto.com Arena;18997;Los Angeles Lakers
FedEx Forum;17794;Memphis Grizzlies
Fiserv Forum;17500;Milwaukee Bucks
Footprint Center;18055;Phoenix Suns
FTX Arena;19600;Miami Heat
Gainbridge Fieldhouse;17923;Indiana Pacers
Golden 1 Center;17583;Sacramento Kings
Little Caesars Arena;20332;Detroit Pistons
Madison Square Garden;19812;New York Knicks
Moda Center;19441;Portland Trail Blazers
Paycom Center;18203;Oklahoma City Thunder
Rocket Mortgage FieldHouse;19432;Cleveland Cavaliers
Scotiabank Arena;19800;Toronto Raptors
Smoothie King Center;16867;New Orleans Pelicans
Spectrum Center;19077;Charlotte Hornets
State Farm Arena;18118;Atlanta Hawks
Target Center;18978;Minnesota Timberwolves
TD Garden;19156;Boston Celtics
Toyota Center;18055;Houston Rockets
United Center;20917;Chicago Bulls
Vivint Arena;18306;Utah Jazz
Wells Fargo Center;20478;Philadelphia 76ers
